
          Mkt-RF    SMB       HML      RF

200907,    7.72,    1.87,    4.83,    0.01
200908,    3.33,   -1.08,    7.63,    0.01
200909,    4.08,    2.43,    1.05,    0.01
200910,   -2.59,   -4.35,   -4.21,    0.00
200911,    5.56,   -2.40,   -0.34,    0.00
200912,    2.75,    6.05,   -0.17,    0.01
201001,   -3.36,    0.40,    0.43,    0.00
201002,    3.40,    1.19,    3.23,    0.00
201003,    6.31,    1.48,    2.21,    0.01
201004,    2.00,    4.87,    2.89,    0.01
201005,   -7.89,    0.09,   -2.44,    0.01
201006,   -5.57,   -1.82,   -4.70,    0.01
201007,    6.93,    0.20,   -0.31,    0.01
201008,   -4.77,   -3.00,   -1.90,    0.01
201009,    9.54,    3.96,   -3.16,    0.01
201010,    3.88,    1.14,   -2.43,    0.01
201011,    0.60,    3.77,   -0.96,    0.01
201012,    6.82,    0.73,    3.70,    0.01
201101,    1.99,   -2.50,    0.83,    0.01
201102,    3.49,    1.53,    1.27,    0.01
201103,    0.46,    2.54,   -1.83,    0.01
201104,    2.90,   -0.38,   -2.43,    0.00
201105,   -1.27,   -0.59,   -2.12,    0.00
201106,   -1.75,   -0.12,   -0.42,    0.00
201107,   -2.35,   -1.26,   -0.90,    0.00
201108,   -5.99,   -3.05,   -2.36,    0.01
201109,   -7.59,   -3.31,   -1.72,    0.00
201110,   11.35,    3.28,    0.10,    0.00
201111,   -0.28,   -0.16,   -0.46,    0.00
201112,    0.74,   -0.59,    1.63,    0.00
201201,    5.05,    2.04,   -0.97,    0.00
201202,    4.42,   -1.85,    0.43,    0.00
201203,    3.11,   -0.64,    1.14,    0.00
201204,   -0.85,   -0.42,   -0.78,    0.00
201205,   -6.19,    0.07,   -1.07,    0.01
201206,    3.89,    0.67,    0.62,    0.00
201207,    0.79,   -2.74,   -0.02,    0.00
201208,    2.55,    0.47,    1.30,    0.01
201209,    2.73,    0.50,    1.60,    0.01
201210,   -1.76,   -1.15,    3.59,    0.01
201211,    0.78,    0.63,   -0.84,    0.01
201212,    1.18,    1.48,    3.51,    0.01
201301,    5.57,    0.33,    0.96,    0.00
201302,    1.29,   -0.27,    0.11,    0.00
201303,    4.03,    0.81,   -0.19,    0.00
201304,    1.55,   -2.37,    0.45,    0.00
201305,    2.80,    1.70,    2.63,    0.00
201306,   -1.20,    1.33,    0.03,    0.00
201307,    5.65,    1.87,    0.57,    0.00
201308,   -2.71,    0.27,   -2.69,    0.00
201309,    3.77,    2.88,   -1.22,    0.00
201310,    4.18,   -1.53,    1.25,    0.00
201311,    3.13,    1.29,    0.32,    0.00
201312,    2.81,   -0.46,   -0.02,    0.00
201401,   -3.32,    0.89,   -2.07,    0.00
201402,    4.65,    0.35,   -0.31,    0.00
201403,    0.43,   -1.81,    4.93,    0.00
201404,   -0.19,   -4.19,    1.17,    0.00
201405,    2.06,   -1.88,   -0.13,    0.00
201406,    2.61,    3.09,   -0.70,    0.00
201407,   -2.04,   -4.29,    0.03,    0.00
201408,    4.24,    0.40,   -0.45,    0.00
201409,   -1.97,   -3.71,   -1.34,    0.00
201410,    2.52,    4.21,   -1.81,    0.00
201411,    2.55,   -2.06,   -3.09,    0.00
201412,   -0.06,    2.49,    2.27,    0.00
201501,   -3.11,   -0.56,   -3.58,    0.00
201502,    6.13,    0.63,   -1.86,    0.00
201503,   -1.12,    3.04,   -0.37,    0.00
201504,    0.59,   -3.06,    1.82,    0.00
201505,    1.36,    0.93,   -1.14,    0.00
201506,   -1.53,    2.91,   -0.79,    0.00
201507,    1.54,   -4.17,   -4.13,    0.00
201508,   -6.04,    0.33,    2.77,    0.00
201509,   -3.07,   -2.62,    0.56,    0.00
201510,    7.75,   -1.88,   -0.46,    0.00
201511,    0.56,    3.60,   -0.42,    0.00
201512,   -2.17,   -2.84,   -2.61,    0.01
201601,   -5.77,   -3.42,    2.09,    0.01
201602,   -0.07,    0.73,   -0.57,    0.02
201603,    6.96,    0.82,    1.19,    0.02
201604,    0.91,    0.76,    3.28,    0.01
201605,    1.78,   -0.17,   -1.66,    0.01
201606,   -0.05,    0.61,   -1.48,    0.02
201607,    3.95,    2.49,   -1.32,    0.02
201608,    0.49,    1.15,    3.18,    0.02
201609,    0.25,    2.12,   -1.24,    0.02
201610,   -2.02,   -4.40,    4.09,    0.02
