"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","2.16343122619065","3.26304799839612","-2.35240550953631","0.873660457440366","3.5205588560915","4.5626561306803","3.36111899675143","2.76477485372901","2.23319218655251","0.784524997988868","2.44288517671802","2.57843688210806","3.70178586477303","3.47154210629066","3.46116500286367","3.08315222671067","2.19548493722716","2.14826528530165","4.1774527331313","3.3729373509024","4.76607409029504","6.22050707229722","5.57837346154496","7.2746068343865","5.39604744527809","3.03402712476419","2.32567449275953","5.58769721443164","2.95765594848707","3.79118580134276","4.56514545338248","3.30085108098186","3.67093626796063","1.96658104934085","2.25149402567102","1.9491025326946","2.03281712267105","-1.9302480785891","4.394160747303","3.07255464831906",
"Afghanistan","AFG","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-7.54323425434622","-16.280655344457","4.34733059307322","16.6842420422724","-4.00407812409198","-4.02270184606716","3.98912725914961","-5.48824480099157","15.4625855997825","5.11422645302746","10.4668717559991","-4.90176037831614","-7.57946803276901","4.54891697489828","15.4717225368027","-0.652553242527688","1.6784585243508","-2.88885076708894","1.65093161672625","35.9719407895288","10.9143256333025","8.10882911189546","4.49759931958013","10.1840946087833","-7.02675792427256","27.3379101545734","-8.10336605445717","13.3293031263199","4.21858099339067","-0.021389207135357","1.90243311796831","14.0549203824226","0.891205031047733","1.57858838606298","-3.28711964601854","0.291624134304797","5.98523031856611","1.84678656259398","3.33721739426167","13.1628656641853","",
"Angola","AGO","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.69800000000001","3.33400000000003","5.85969999999989","7.76000000000003","6.85000000000011","9.55972558047048","3.1094079323029","4.27945081436043","15.7269369083694","6.62335847638759","12.6612341030116","2.87669120265971","-0.398243339597428","1.99281147245883","2.37859253180466","-3.09857433486161","-4.41011036212466","-4.08056220625275","3.66466097543548","4.13484789978627",
"Albania","ALB","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.4502296696539","-5.74447571714461","2.60963896932832","4.36542236239757","4.58971980935779","6.95177797969677","9.01466738218721","3.76430751723733","5.39889844703288","5.75219067281122","11.6177916266367","9.47504048519441","1.04963195795304","1.94786341589406","1.63127965670036","0.125774054284818","1.96729207319008","3.24750574954665","0.898823137809984","2.43785099085943","2.53119579671338","2.89977159766546","3.25502212190922","-2.79435838267632","5.06222521942942","5.3567992858832",
"Andorra","AND","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.21820538488271","2.98879753557333","3.90286887896754","6.68983959752654","5.2752643095274","7.46797289178387","7.67191336726509","7.94154622531069","0.44169428963923","0.220286817852042","6.06600305300393","4.60849833081014","4.75429378805184","6.13896222200891","-0.619064606652969","0.216140773080966","3.7183664489711","2.86524812600393","3.44365013080872","-2.65149793406721","4.98474907842834","",
"United Arab Emirates","ARE","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.99363755120335","2.38490220786898","9.37966600145066","1.50960263477266","12.8119051165835","10.9814032974109","11.9037442080657","-21.8890725866667","-23.3672065152713","11.2447445664639","-9.13626022999883","10.5430658140323","9.39930412058538","-15.429920206331","0.913909239002251","9.97653133207798","3.23643996897887","9.96106193336026","-9.34664584981503","","",
"Argentina","ARG","Final consumption expenditure (annual % growth)","NE.CON.TOTL.KD.ZG","","9.7106209347718","-2.50362926744494","-2.85419399538809","10.5671010382482","8.64328580668247","-1.08457953053544","3.04613611670446","4.63251072285971","6.34701983603689","2.07460763949673","5.15375807139438","1.47766543262766","4.55425975357238","7.11451893279649","-0.0207402704678401","-6.88084255085651","2.27309354107339","-1.11091083549621","13.5338584876829","6.38308787955846","-3.5839576416745","-4.57881049022404","4.23664634654983","4.15887987850184","-8.04608250956005","9.26431010177365","1.74576782742338","-4.12878388847699","-5.99867111986661","-1.590232273655","14.7830201014119","13.2064014145826","4.54695810858654","5.14986731727325","-3.57598868236673","4.98594711943461","8.06311334938106","3.45716407351095","-1.29865342593595","-0.464965084483026","-5.15724588356801","-12.8305929153493","6.96915875248413","8.3491268867478","7.75540355124549","9.86980399502954","9.12487825917493","6.93227733152048","-3.87974975988486","10.320842492329","8.67438748069445","1.37438159330905","3.8769263216905","-3.31180549604703","4.15806851197405","-0.740187841017644","3.91963079033415","-2.1907927417751","-6.16940005090386","-11.8962127308575","9.51908543716036","8.16202402457193",
