PERMNO,date,TICKER,SHROUT
10104,2000-03-31,ORCL,2838409
10104,2000-04-28,ORCL,2838409
10104,2000-05-31,ORCL,2807572
10104,2000-06-30,ORCL,2807572
10104,2000-07-31,ORCL,2814917
10104,2000-08-31,ORCL,2821650
10104,2000-09-29,ORCL,2821650
10104,2000-10-31,ORCL,5643300
10104,2000-11-30,ORCL,5580988
10104,2000-12-29,ORCL,5585918
10104,2001-01-31,ORCL,5585918
10104,2001-02-28,ORCL,5609970
10104,2001-03-30,ORCL,5613575
10104,2001-04-30,ORCL,5613575
10104,2001-05-31,ORCL,5592361
10104,2001-06-29,ORCL,5592361
10104,2001-07-31,ORCL,5598702
10104,2001-08-31,ORCL,5558917
10104,2001-09-28,ORCL,5561669
10104,2001-10-31,ORCL,5561669
10104,2001-11-30,ORCL,5496055
10104,2001-12-31,ORCL,5497177
10104,2002-01-31,ORCL,5497177
10104,2002-02-28,ORCL,5490341
10104,2002-03-28,ORCL,5491217
10104,2002-04-30,ORCL,5491217
10104,2002-05-31,ORCL,5431000
10104,2002-06-28,ORCL,5431000
10104,2002-07-31,ORCL,5433193
10104,2002-08-30,ORCL,5356000
10104,2002-09-30,ORCL,5355935
10104,2002-10-31,ORCL,5355935
10104,2002-11-29,ORCL,5355935
10104,2002-12-31,ORCL,5269114
10104,2003-01-31,ORCL,5269114
10104,2003-02-28,ORCL,5242000
10104,2003-03-31,ORCL,5242996
10104,2003-04-30,ORCL,5242996
10104,2003-05-30,ORCL,5233000
10104,2003-06-30,ORCL,5233773
10104,2003-07-31,ORCL,5233773
10104,2003-08-29,ORCL,5224000
10104,2003-09-30,ORCL,5226646
10104,2003-10-31,ORCL,5226646
10104,2003-11-28,ORCL,5226000
10104,2003-12-31,ORCL,5227587
10104,2004-01-30,ORCL,5227587
10104,2004-02-27,ORCL,5195000
10104,2004-03-31,ORCL,5194988
10104,2004-04-30,ORCL,5194988
10104,2004-05-28,ORCL,5171000
10104,2004-06-30,ORCL,5170778
10104,2004-07-30,ORCL,5170778
10104,2004-08-31,ORCL,5128000
10104,2004-09-30,ORCL,5128466
10104,2004-10-29,ORCL,5128466
10104,2004-11-30,ORCL,5104000
10104,2004-12-31,ORCL,5224866
10104,2005-01-31,ORCL,5224866
10104,2005-02-28,ORCL,5136000
10104,2005-03-31,ORCL,5141381
