PERMNO,date,TICKER,PRC
10104,2000-01-31,ORCL,49.95313
10104,2000-02-29,ORCL,74.25000
10104,2000-03-31,ORCL,78.06250
10104,2000-04-28,ORCL,79.93750
10104,2000-05-31,ORCL,71.87500
10104,2000-06-30,ORCL,84.06250
10104,2000-07-31,ORCL,75.18750
10104,2000-08-31,ORCL,90.93750
10104,2000-09-29,ORCL,78.75000
10104,2000-10-31,ORCL,33.00000
10104,2000-11-30,ORCL,26.50000
10104,2000-12-29,ORCL,29.06250
10104,2001-01-31,ORCL,29.12500
10104,2001-02-28,ORCL,19.00000
10104,2001-03-30,ORCL,14.98000
10104,2001-04-30,ORCL,16.16000
10104,2001-05-31,ORCL,15.30000
10104,2001-06-29,ORCL,19.00000
10104,2001-07-31,ORCL,18.08000
10104,2001-08-31,ORCL,12.21000
10104,2001-09-28,ORCL,12.58000
10104,2001-10-31,ORCL,13.56000
10104,2001-11-30,ORCL,14.03000
10104,2001-12-31,ORCL,13.81000
10104,2002-01-31,ORCL,17.26000
10104,2002-02-28,ORCL,16.62000
10104,2002-03-28,ORCL,12.80000
10104,2002-04-30,ORCL,10.04000
10104,2002-05-31,ORCL,7.92000
10104,2002-06-28,ORCL,9.47000
10104,2002-07-31,ORCL,10.00900
10104,2002-08-30,ORCL,9.59000
10104,2002-09-30,ORCL,7.86000
10104,2002-10-31,ORCL,10.19000
10104,2002-11-29,ORCL,12.15000
10104,2002-12-31,ORCL,10.80000
10104,2003-01-31,ORCL,12.03000
10104,2003-02-28,ORCL,11.96000
10104,2003-03-31,ORCL,10.84900
10104,2003-04-30,ORCL,11.88000
10104,2003-05-30,ORCL,13.01000
10104,2003-06-30,ORCL,12.01000
10104,2003-07-31,ORCL,11.99000
10104,2003-08-29,ORCL,12.83000
10104,2003-09-30,ORCL,11.25000
10104,2003-10-31,ORCL,11.97000
10104,2003-11-28,ORCL,12.02000
10104,2003-12-31,ORCL,13.23000
10104,2004-01-30,ORCL,13.86000
10104,2004-02-27,ORCL,12.87000
10104,2004-03-31,ORCL,12.00000
10104,2004-04-30,ORCL,11.25000
10104,2004-05-28,ORCL,11.40000
10104,2004-06-30,ORCL,11.93000
10104,2004-07-30,ORCL,10.51000
10104,2004-08-31,ORCL,9.97000
10104,2004-09-30,ORCL,11.28000
10104,2004-10-29,ORCL,12.66000
10104,2004-11-30,ORCL,12.74000
10104,2004-12-31,ORCL,13.72000
10104,2005-01-31,ORCL,13.77000
10104,2005-02-28,ORCL,12.95000
10104,2005-03-31,ORCL,12.48000
10104,2005-04-29,ORCL,11.56000
10104,2005-05-31,ORCL,12.80000
10104,2005-06-30,ORCL,13.20000
10104,2005-07-29,ORCL,13.57000
10104,2005-08-31,ORCL,12.99000
10104,2005-09-30,ORCL,12.40000
10104,2005-10-31,ORCL,12.68000
10104,2005-11-30,ORCL,12.60000
10104,2005-12-30,ORCL,12.21000
10104,2006-01-31,ORCL,12.57000
10104,2006-02-28,ORCL,12.42000
10104,2006-03-31,ORCL,13.69000
