This file ;the 202307;CRSP ;database.
The 1-mont; Inc.;;
;;;
;RF;;
202208;0.19;;
202209;0.19;;
202210;0.23;;
202211;0.29;;
202212;0.33;;
202301;0.35;;
202302;0.34;;
202303;0.36;;
202304;0.35;;
202305;0.36;;
202306;0.40;;
202307;0.45;;
;;;
 Annual Fa;;;
,Mkt-RF,SM;;;
1964;3.54;;
1965;3.93;;
-1966;4.76;;
1967;4.21;;
1968;5.21;;
-1969;6.58;;
1970;6.52;;
1971;4.39;;
1972;3.84;;
-1973;6.93;;
-1974;8.00;;
1975;5.80;;
1976;5.08;;
1977;5.12;;
1978;7.18;;
1979;0.38;;
1980;1.24;;
-1981;4.71;;
1982;0.54;;
1983;8.80;;
1984;9.85;;
1985;7.72;;
1986;6.16;;
1987;5.47;;
1988;6.35;;
1989;8.37;;
-1990;7.81;;
1991;5.60;;
1992;3.51;;
1993;2.90;;
1994;3.90;;
1995;5.60;;
1996;5.21;;
1997;5.26;;
1998;4.86;;
1999;4.68;;
-2000;5.89;;
-2001;3.83;;
-2002;1.65;;
2003;1.02;;
2004;1.20;;
2005;2.98;;
2006;4.80;;
2007;4.66;;
-2008;1.60;;
2009;0.10;;
2010;0.12;;
2011;0.04;;
2012;0.06;;
2013;0.02;;
2014;0.02;;
2015;0.02;;
2016;0.20;;
2017;0.80;;
2018;1.83;;
2019;2.15;;
2020;0.45;;
2021;0.04;;
-2022;1.43;;
