Date,RF
200001,0.41
200002,0.43
200003,0.47
200004,0.46
200005,0.50
200006,0.40
200007,0.48
200008,0.50
200009,0.51
200010,0.56
200011,0.51
200012,0.50
200101,0.54
200102,0.38
200103,0.42
200104,0.39
200105,0.32
200106,0.28
200107,0.30
200108,0.31
200109,0.28
200110,0.22
200111,0.17
200112,0.15
200201,0.14
200202,0.13
200203,0.13
200204,0.15
200205,0.14
200206,0.13
200207,0.15
200208,0.14
200209,0.14
200210,0.14
-200211,0.51
200212,0.50
200301,0.42
200302,0.39
200303,0.47
200304,0.41
200305,0.43
200306,0.44
200307,0.43
200308,0.47
200309,0.48
200310,0.52
-200311,0.43
200312,0.47
200401,0.46
200402,0.47
200403,0.44
200404,0.42
200405,0.36
200406,0.36
200407,0.39
200408,0.44
200409,0.43
200410,0.38
200411,0.36
200412,0.34
200501,0.33
200502,0.33
200503,0.31
200504,0.31
200505,0.32
200506,0.34
200507,0.33
200508,0.32
200509,0.33
200510,0.33
-200511,0.32
200512,0.29
200601,0.27
200602,0.27
200603,0.28
200604,0.28
200605,0.25
200606,0.26
200607,0.26
200608,0.27
200609,0.28
200610,0.26
200611,0.25
200612,0.26
200701,0.25
200702,0.26
200703,0.26
200704,0.28
200705,0.27
200706,0.27
200707,0.27
200708,0.29
200709,0.32
200710,0.32
200711,0.30
200712,0.31
200801,0.29
200802,0.24
200803,0.26
200804,0.28
200805,0.30
200806,0.27
200807,0.29
200808,0.33
200809,0.27
-200810,0.08
200811,0.01
200812,0.00
200901,0.00
-200902,0.01
200903,0.02
200904,0.01
200905,0.00
200906,0.01
200907,0.01
200908,0.01
200909,0.01
200910,0.01
200911,0.00
200912,0.01
201001,0.00
201002,0.00
201003,0.01
201004,0.01
201005,0.00
201006,0.01
201007,0.01
201008,0.01
201009,0.01
201010,0.01
201011,0.01
201012,0.01
201101,0.01
201102,0.01
201103,0.01
201104,0.00
201105,0.00
201106,0.00
201107,0.00
201108,0.01
201109,0.00
201110,0.00
201111,0.01
201112,0.01
201201,0.00
201202,0.00
201203,0.00
201204,0.01
201205,0.00
201206,0.00
201207,0.01
201208,0.01
201209,0.00
201210,0.01
201211,0.01
201212,0.01
201301,0.01
201302,0.00
201303,0.01
201304,0.00
201305,0.01
201306,0.01
201307,0.01
201308,0.00
201309,0.00
201310,0.00
201311,0.01
201312,0.00
201401,0.00
201402,0.00
201403,0.00
201404,0.00
201405,0.01
201406,0.01
201407,0.00
201408,0.01
201409,0.00
201410,0.00
201411,0.00
201412,0.00
201501,0.00
201502,0.00
201503,0.00
201504,0.00
201505,0.00
201506,0.00
201507,0.00
201508,0.00
201509,0.00
201510,0.00
201511,0.00
201512,0.00
201601,0.00
201602,0.00
201603,0.00
201604,0.00
201605,0.00
201606,0.00
201607,0.00
201608,0.00
201609,0.00
201610,0.00
201611,0.00
201612,0.00
201701,0.00
201702,0.00
201703,0.00
201704,0.00
201705,0.00
201706,0.00
201707,0.00
201708,0.00
201709,0.00
201710,0.00
201711,0.00
201712,0.00
201801,0.00
201802,0.00
201803,0.00
201804,0.00
201805,0.00
201806,0.00
201807,0.00
201808,0.00
201809,0.00
201810,0.00
201811,0.00
201812,0.00
201901,0.00
201902,0.00
201903,0.00
201904,0.00
201905,0.00
201906,0.00
201907,0.00
201908,0.00
201909,0.00
201910,0.00
201911,0.00
201912,0.00
202001,0.00
202002,0.00
202003,0.00
202004,0.00
202005,0.00
202006,0.00
202007,0.00
202008,0.00
202009,0.00
202010,0.00
202011,0.00
202012,0.00
202101,0.00
202102,0.00
202103,0.00
202104,0.00
202105,0.00
202106,0.00
202107,0.00
202108,0.00
202109,0.00
202110,0.00
202111,0.00
202112,0.01
202201,0.00
202202,0.00
202203,0.01
202204,0.01
202205,0.03
202206,0.06
202207,0.08
202208,0.19
202209,0.19
202210,0.23
202211,0.29
202212,0.33
